text	label
Africans Endorse Ivory Coast Sanctions African leaders backed an arms embargo and other immediate UN sanctions against Ivory Coast on Sunday, isolating President Laurent Gbagbo #39;s hard-line government 	0
Sharon strikes coalition deal with Labor On a day Israeli forces attacked targets in Gaza, Prime Minister Ariel Sharon reached agreement with the Labor Party on a national unity government -- strengthening his plan to disengage from the Palestinians.	0
Venezuela gives US\$1m to Haiti after tropical storm Jeanne Venezuela will give Haiti US\$1 million (euro810,000) to help the French-speaking Caribbean country recover from Tropical Storm Jeanne, which left at least 620 people dead and caused major damage last weekend, an official said 	0
Government changes rules that restricted help for spouses of some veterans (Canadian Press) Canadian Press - OTTAWA (CP) - Gloria McKenna had given up on the home she'd shared with her husband for decades and was looking for a smaller, more affordable place to live before the government changed a key program Tuesday.	0
30 Killed in Pair of Major Attacks in Iraq (AP) AP - Insurgents launched two major attacks Friday against a Shiite mosque and a police station in Baghdad, killing 30 people, including at least 16 police officers, the deadliest insurgent attacks in weeks.	0
Taleban claim attack on policemen \Taleban guerrillas say they carried out an attack in central Afghanistan that left four policemen dead.	0
Pakistan and US hold terror talks Pakistani President Pervez Musharraf is to hold talks with President Bush in New York on the war against terror.	0
Peru Rebel Chief Scores Publicity Coup in Court &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Jude Webber&lt;/p&gt;&lt;p&gt; CALLAO NAVAL BASE, Peru (Reuters) - Punching the air with afist and chanting rebel slogans, Peru's Shining Path founderAbimael Guzman scored a propaganda coup on Friday and forcedhis terrorism retrial to be postponed for a week.&lt;/p&gt;	0
Prince Charles right or wrong? The Education Secretary Charles Clarke criticised Prince Charles as  quot;old-fashioned quot; after he said the  quot;learning culture quot; gave people hope beyond their capabilities.	0
Mobile phones push Bouygues profits up 92 percent (AFP) AFP - Bouygues, the French construction group which has diversified into television and mobile telephones, reported a 92-percent leap of first-half net profits, owing mainly to strong mobile telephone performance.	3
New Study Finds Technology Already Exists to Solve Global Warming A new study finds that technologies already exist to solve the problem of global warming. It says strategies employing these technologies over the next fifty years could put the brakes on rising levels of 	3
Corel buys Paint Shop Pro maker Jasc Corel Corporation has bought Jasc Software, the publishers of the highly rated Paintshop Pro graphics software. The buy out strengthens Corel #39;s already strong presence in the PC graphics market - particularly 	3
Top McAfee exec to step down Stephen Richards will retire from his positions as chief operating officer and chief financial officer.	3
Conway or the highway CNET News.com's Charles Cooper says the board is only telling half the story behind the surprise firing of PeopleSoft's CEO.	3
Delaware River Oil Spill Leaves Wildlife Imperiled Birds coated in oil were carried to a wildlife refuge by volunteers trying to save them from the largest oil spill on the Delaware River in nearly a decade.	3
HP  amp; Intel Team Up on Servers Intel Corp and Hewlett-Packard Co. reached a new level in their relationship today, as Intel hired an entire team of engineers from HP.	3
Cassini spacecraft images of Saturn #39;s moon befuddling After staying up much of the night analyzing the first close-up images of Titan #39;s smog-shrouded surface, groggy scientists acknowledged yesterday that they were befuddled 	3
"MSBlast suspect pleads guilty The 19-year-old faces up to 37 months in prison after admitting to creating the ""MSBlast.B"" variant."	3
EU Approves Eight National Emissions Trading Plans (Reuters) Reuters - The European Commission moved forward\with a landmark emissions trading system on Wednesday by\approving eight national plans that allocate how much carbon\dioxide (CO2) industrial plants are allowed to emit.	3
Fossil Indicates Brown Bears Went South (AP) AP - A fossilized jaw found in an Alberta gravel pit may have cleared up a mystery for researchers wondering how brown bears originally made it across North America.	3
Sony, Virgin fire up gadget plans DVD burner from Sony does just fine without a PC. Also: Virgin goes head-to-head with the iPod Mini.	3
Wal-Mart Launches Windows Media Song Downloads Wal-Mart Stores Inc. launched an online music store that works with Microsoft Corp. #39;s Windows Media Player, the world #39;s largest retailer said on Thursday.	3
Big shuttle repairs not possible Space shuttle astronauts will fly next year without the ability to repair in orbit the type of damage that destroyed the Columbia vehicle in February 2003.	3
Columnists: Closed Source Hardware Trust with hardware vendors for open source systems is becoming a one-way street, where in exchange for support they offer a closed source binary solution with no provision to audit security.	3
Nokia woos operators, developers with Preminet Nokia unveiled a system for hosting, delivering and charging for entertainment and application content for mobile phones, at the Cellular Telecommunications and Internet Association #39;s (CTIA #39;s) Wireless IT and Entertainment conference on Monday in San 	3
Bothell priest an abuse victim, he says The parishioners at St. Brendan Catholic Church in Bothell got a shock this weekend: Instead of delivering a typical sermon, the Rev.	2
Call for vast Chinese power spend China needs to invest \$120bn (67bn) over the next five years to increase electricity supplies to meet demand, a leading Chinese official has said.	2
"Study: Viagra Promising in Hypertension  NEW YORK (Reuters) - Viagra, Pfizer Inc's &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PFE.N target=/stocks/quickinfo/fullquote""&gt;PFE.N&lt;/A&gt; famous  impotence treatment, demonstrated great promise in a late-stage  clinical trial for use in treating the often fatal disease  pulmonary arterial hypertension, researchers said."	2
Jury rules for franchisees in Shell trial A federal jury awarded more than \$3 million to eight Massachusetts gas station operators after finding Shell Oil Co. used unfair tactics that were effectively intended to drive them out of business.	2
Microsoft to Launch New Small Business Software Microsoft Corp. MSFT.O is planning to release a new version of its Office program for small businesses that handles accounting and customer management tasks, the world #39;s largest software maker said on Friday.	2
NYSE seat not what it used to be A New York Stock Exchange membership was sold at the lowest price in nine years and a one-year lease on a seat dropped to a 13-year low, reflecting the decline in income on the floor.	2
Ebookers admits possible sell-off Internet-based holiday company Ebookers confirms it is in talks over a possible sale, sending its shares 22 higher.	2
Job gains in state sluggish California employers created just 4,900 payroll jobs in September, and the unemployment rate held steady at 5.9 percent, the Employment Development Department reported Monday.	2
Cendant to buy Orbitz for \$1.25 billion Travel and real estate heavyweight Cendant said Wednesday it will buy travel Web site Orbitz for about \$1.25 billion, making it the No.	2
Boston-area tech jobs decline Greater Boston ranks third among top information technology labor markets that have lost a significant number of tech jobs, according to a study released yesterday.	2
UPDATE: Australia #39;s Orica Triples FY Net To A\$327.8M MELBOURNE (Dow Jones)--Following several years of cost cutting, Australia #39;s Orica Ltd. (ORI.AU), the world #39;s biggest maker of mining explosives, on Wednesday said net 	2
Stocks Up as Oil Drops Sharply  NEW YORK (Reuters) - U.S. stocks rebounded on Wednesday  morning after the government reported a bigger-than-expected  rise in crude oil inventories last week, triggering a sharp  slide in oil prices.	2
Let the stuffing begin No one may be more prepared to brave this week #39;s holiday travel rush than Craig and Angela Koven, of Indianapolis, who plan to fly to Orlando to visit family.	2
Dollar Rises, Investors Focus on Rates  LONDON (Reuters) - The dollar gained ground on Wednesday,  as investors took profits on other major currencies on signs  that currency strength may prompt some central banks to scale  back interest rate tightening.	2
 #39;Shrek 3 #39; Hibernating Until  #39;07 DreamWorks Animation Studios said Wednesday it would postpone the release of  quot;Shrek 3 quot; to May 2007 from November 2006. The announcement came a day after 	2
Jobless Claims Up Less Than Expected  WASHINGTON (Reuters) - The number of Americans lining up to  claim an initial week of jobless aid rose less than expected  last week, according to a report on Thursday that the Labor  Department said was unaffected by recent hurricanes.	2
